
============================================================
worker start: convThresh=1.0 size=25 worker_id=0/2
============================================================
======================================================================
Ablation Study for CP-DCM-ACO
Parameters to test: convThresh
Puzzle sizes: 25x25
Repetitions per instance: 100
Total configurations: 1
Output directory: results\ablation
======================================================================

======================================================================
Puzzle size: 25x25
======================================================================

  Parameter: Convergence Threshold (convThresh)

[Config 1/1] convThresh=1 on 25x25
  [convThresh=1 [25x25]] (1/50) inst25x25_40_10.txt 
    Rep 1/100: FAIL (time=121.5690s)
    Rep 2/100: OK (time=13.6324s)
    Rep 3/100: OK (time=59.7527s)
    Rep 4/100: OK (time=14.7366s)
    Rep 5/100: FAIL (time=120.7550s)
    Rep 6/100: OK (time=33.9404s)
    Rep 7/100: OK (time=70.0742s)
    Rep 8/100: OK (time=6.0522s)
    Rep 9/100: FAIL (time=121.8320s)
    Rep 10/100: OK (time=3.6907s)
    Rep 11/100: OK (time=5.7553s)
    Rep 12/100: OK (time=19.1581s)
    Rep 13/100: OK (time=6.4383s)
    Rep 14/100: OK (time=17.2461s)
    Rep 15/100: OK (time=5.7351s)
    Rep 16/100: FAIL (time=121.3600s)
    Rep 17/100: FAIL (time=120.3960s)
    Rep 18/100: OK (time=79.5134s)
    Rep 19/100: OK (time=14.8273s)
    Rep 20/100: FAIL (time=121.1950s)
    Rep 21/100: OK (time=13.7920s)
    Rep 22/100: OK (time=36.5713s)
    Rep 23/100: OK (time=8.9643s)
    Rep 24/100: OK (time=96.3575s)
    Rep 25/100: OK (time=4.4604s)
    Rep 26/100: OK (time=2.3407s)
    Rep 27/100: OK (time=25.6803s)
    Rep 28/100: FAIL (time=120.6860s)
    Rep 29/100: FAIL (time=121.4310s)
    Rep 30/100: OK (time=12.7045s)
    Rep 31/100: OK (time=6.1169s)
    Rep 32/100: OK (time=11.3864s)
    Rep 33/100: OK (time=2.2581s)
    Rep 34/100: OK (time=2.8740s)
    Rep 35/100: OK (time=17.9713s)
    Rep 36/100: OK (time=13.8880s)
    Rep 37/100: OK (time=49.6182s)
    Rep 38/100: OK (time=1.4733s)
    Rep 39/100: FAIL (time=121.4680s)
    Rep 40/100: OK (time=118.2280s)
    Rep 41/100: FAIL (time=120.3830s)
    Rep 42/100: OK (time=26.0205s)
    Rep 43/100: OK (time=2.8743s)
    Rep 44/100: OK (time=20.8555s)
    Rep 45/100: OK (time=4.6719s)
    Rep 46/100: OK (time=22.2180s)
    Rep 47/100: FAIL (time=120.2630s)
    Rep 48/100: FAIL (time=121.2160s)
    Rep 49/100: OK (time=71.5054s)
    Rep 50/100: OK (time=1.1503s)
    Rep 51/100: OK (time=1.3675s)
    Rep 52/100: OK (time=20.5179s)
    Rep 53/100: OK (time=2.0042s)
    Rep 54/100: OK (time=41.4977s)
    Rep 55/100: OK (time=7.4836s)
    Rep 56/100: FAIL (time=121.6830s)
    Rep 57/100: OK (time=8.8291s)
    Rep 58/100: FAIL (time=121.0580s)
    Rep 59/100: OK (time=15.7299s)
    Rep 60/100: OK (time=1.6875s)
    Rep 61/100: OK (time=3.7325s)
    Rep 62/100: OK (time=18.4551s)
    Rep 63/100: OK (time=6.1396s)
    Rep 64/100: OK (time=22.4985s)
